FOLIO_I,FOLIO_INT,entidad,desc_ent,municipio,desc_mun,id_tortillas,tortillas,pa1_t,pa4_t,ponde_f,estrato,est_sel,upm,completa,region
2022_01002012,2022_01002012_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,160,Tortillas de maiz de masa (comprada) o de tortillería,7,12,26695.8284265277,1,11,0100200000029,1,4
2022_01002012,2022_01002012_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,161,Tortillas de harina de trigo,9, ,26695.8284265277,1,11,0100200000029,1,4
2022_01002021,2022_01002021_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,14852.2485106239,1,11,0100200000029,1,4
2022_01002021,2022_01002021_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,14852.2485106239,1,11,0100200000029,1,4
2022_01002021,2022_01002021_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,14852.2485106239,1,11,0100200000029,1,4
2022_01002021,2022_01002021_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,161,Tortillas de harina de trigo,9, ,14852.2485106239,1,11,0100200000029,1,4
2022_01005004,2022_01005004_03,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,99636.443185492,2,12,0100500010247,1,4
2022_01005004,2022_01005004_03,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,99636.443185492,2,12,0100500010247,1,4
2022_01005004,2022_01005004_03,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,160,Tortillas de maiz de masa (comprada) o de tortillería,5,8,99636.443185492,2,12,0100500010247,1,4
2022_01005004,2022_01005004_03,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,161,Tortillas de harina de trigo,9, ,99636.443185492,2,12,0100500010247,1,4
2022_01005004,2022_01005004_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,40646.8432150729,2,12,0100500010247,1,4
2022_01005004,2022_01005004_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,40646.8432150729,2,12,0100500010247,1,4
2022_01005004,2022_01005004_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,160,Tortillas de maiz de masa (comprada) o de tortillería,7,7,40646.8432150729,2,12,0100500010247,1,4
2022_01005004,2022_01005004_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,161,Tortillas de harina de trigo,9, ,40646.8432150729,2,12,0100500010247,1,4
2022_01005005,2022_01005005_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,158,Tortillas de maiz de nixtamal (hecho en casa),7,5,27481.2008198493,2,12,0100500010247,1,4
2022_01005005,2022_01005005_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),2,2,27481.2008198493,2,12,0100500010247,1,4
2022_01005005,2022_01005005_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,160,Tortillas de maiz de masa (comprada) o de tortillería,9, ,27481.2008198493,2,12,0100500010247,1,4
2022_01005005,2022_01005005_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,161,Tortillas de harina de trigo,9, ,27481.2008198493,2,12,0100500010247,1,4
2022_01005007,2022_01005007_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,71181.066016734,2,12,0100500010247,1,4
2022_01005007,2022_01005007_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,71181.066016734,2,12,0100500010247,1,4
2022_01005007,2022_01005007_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,160,Tortillas de maiz de masa (comprada) o de tortillería,1,3,71181.066016734,2,12,0100500010247,1,4
2022_01005007,2022_01005007_05,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,161,Tortillas de harina de trigo,9, ,71181.066016734,2,12,0100500010247,1,4
2022_01005019,2022_01005019_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,34101.2151227695,2,12,0100500010247,1,4
2022_01005019,2022_01005019_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,34101.2151227695,2,12,0100500010247,1,4
